,State_name,County_name,Year,avgAQI_o3,avgAQI_co,avgAQI_no2,avgAQI_so2,avgAQI_pm25,Population
0,Alabama,Baldwin,2017,37.53617021,,,,30.21818182,212628
1,Alabama,Clay,2017,,,,,32.45762712,13367
2,Alabama,Colbert,2017,35.80894309,,,,30.48739496,54500
3,Alabama,DeKalb,2017,36.84401114,,,,32.88695652,71617
4,Alabama,Elmore,2017,34.01304348,,,,,81677
5,Alabama,Etowah,2017,38.20816327,,,,35.76106195,102755
6,Alabama,Houston,2017,32.65306122,,,,34.83898305,104346
7,Alabama,Jefferson,2017,36.64644236,5.173611111,20.30132939,13.58677686,38.12025316,659197
8,Alabama,Madison,2017,39.49593496,,,,30.80508475,361046
9,Alabama,Mobile,2017,36.55888651,,,1.652046784,32.55855856,413955
10,Alabama,Montgomery,2017,36.99173554,,,,36.25641026,226646
11,Alabama,Morgan,2017,38.62761506,,,,31.4,118818
12,Alabama,Russell,2017,37.66255144,,,,37.2037037,57045
13,Alabama,Shelby,2017,37.05761317,,,3.156593407,,213605
14,Alabama,Sumter,2017,32.53097345,,,,,12687
15,Alabama,Talladega,2017,,,,,35.30172414,80065
16,Alabama,Tuscaloosa,2017,34.9218107,,,,33.31818182,207811
17,Alaska,Anchorage,2017,,12.63736264,,,,294356
18,Alaska,Denali,2017,32.45604396,,,,,2074
19,Alaska,Fairbanks North Star,2017,20.52413793,5.787965616,21.06442577,15.08815427,,99703
20,Alaska,Fairbanks North Star ,2017,,,,,33.79909366,99703
21,Alaska,Juneau ,2017,,,,,21.73333333,32094
22,Alaska,Matanuska-Susitna,2017,25.96052632,,,,,106532
23,Arizona,Apache,2017,,,,,10.89655172,71606
24,Arizona,Cochise,2017,46.82465753,,,,,124756
25,Arizona,Coconino,2017,46.69863014,,,,,140776
26,Arizona,Gila,2017,48.58791209,,,25.90899471,,53501
27,Arizona,La Paz,2017,45.40883978,1.765472313,,,,20601
28,Arizona,Maricopa,2017,49.77480607,6.706382979,32.58066362,2.795857988,33.25842697,4307033
29,Arizona,Navajo,2017,46.37534247,,,,,108956
30,Arizona,Pima,2017,45.41055922,3.55685734,18.08767123,0.076712329,26.26666667,1022769
31,Arizona,Pinal,2017,47.48683473,,,,37.71388102,430237
32,Arizona,Santa Cruz,2017,,,,,34.59649123,46212
33,Arizona,Yuma,2017,44.51977401,,,,,207534
34,Arkansas,Arkansas,2017,,,,,31.98230088,17967
35,Arkansas,Ashley,2017,,,,,34.08264463,20283
36,Arkansas,Clark,2017,33.71823204,,,,,22293
37,Arkansas,Crittenden,2017,36.36164384,,15.53296703,,32.95081967,48750
38,Arkansas,Garland,2017,,,,,34.16528926,98658
39,Arkansas,Jackson,2017,,,,,32.7704918,17135
40,Arkansas,Newton,2017,36.26648352,,,,,7828
41,Arkansas,Polk,2017,38.0359116,,,,33.14876033,20118
42,Arkansas,Pulaski,2017,35.00137552,,17.23835616,,37.36929461,393956
43,Arkansas,Union,2017,,,,,36.36363636,39449
44,Arkansas,Washington,2017,36.99726027,,,,32.18181818,231996
45,California,Alameda,2017,29.68225352,7.455609085,21.00473186,1.600558659,,1663190
46,California,Amador,2017,41.21369863,,,,,38626
47,California,Butte,2017,44.49724518,,13.1260274,,34.11987382,229294
48,California,Calaveras,2017,50.28932584,,,,,45670
49,California,Colusa,2017,37.80615385,,,,27.41516245,21805
50,California,Contra Costa,2017,34.43157895,4.663003663,12.25319309,2.646352724,,1147439
51,California,Del Norte,2017,,,,,24.26022305,27470
52,California,El Dorado,2017,54.15329513,,,,,188987
53,California,Fresno,2017,56.83722804,4.98028169,19.97279289,,45.20819491,989255
54,California,Glenn,2017,37.83569405,,,,,28094
55,California,Humboldt,2017,28.43262411,3.037709497,3.536516854,0.01810585,32.11077844,136754
56,California,Imperial,2017,41.49159971,0.984455959,21.82697947,,40.27079646,182830
57,California,Inyo,2017,40.7769986,1.198697068,,0.004032258,20.44420601,18026
58,California,Kern,2017,62.39498765,4.253443526,20.95321229,,49.60305344,893119
59,California,Kings,2017,53.41975309,,16.88767123,,53.98305085,150101
60,California,Lake,2017,34.64010989,,,,20.16949153,64246
61,California,Los Angeles,2017,51.37232182,6.264146457,26.06939314,2.6184573,41.95264987,10163507
62,California,Madera,2017,53.83608815,,12.26849315,,43.18181818,156890
63,California,Marin,2017,29.30410959,5.147945205,18.06027397,,,260955
64,California,Mariposa,2017,53.35335689,,,,,17569
65,California,Mendocino,2017,32.20867209,,,,,88018
66,California,Merced,2017,47.66483516,,14.78021978,,44.2,272673
67,California,Monterey,2017,33.52747253,3.32320442,10.95342466,,,437907
68,California,Napa,2017,31.96164384,7.169863014,14.27123288,,,140973
69,California,Nevada,2017,66.75890411,,,,24.82666667,99814
70,California,Orange,2017,45.79258675,6.470915842,25.81868132,0.082872928,39.88349515,3190400
71,California,Placer,2017,45.67116853,,16.53150685,,28.27307692,386166
72,California,Plumas,2017,,,,,41.49282297,18742
73,California,Riverside,2017,60.7294686,3.778082192,15.12116136,,40.42199488,2423266
74,California,Sacramento,2017,40.55384615,4.968056788,11.25757576,3.057142857,35.76083189,1530615
75,California,San Benito,2017,38.70958904,,,,,60310
76,California,San Bernardino,2017,64.54298523,5.810114943,30.53338665,1.420183486,43.71901709,2157404
77,California,San Diego,2017,46.13128877,6.81043956,17.42634731,0.002754821,35.81658031,3337685
78,California,San Francisco,2017,26.58241758,5.771978022,22.12054795,,,884363
79,California,San Joaquin,2017,39.275,,11.26210826,,,745424
80,California,San Luis Obispo,2017,39.37712703,,8.813443073,0.010958904,36.86695279,283405
81,California,San Mateo,2017,29.55431755,5.978021978,20.02465753,,,771410
82,California,Santa Barbara,2017,36.07531782,2.831267218,5.424679924,0.457236842,36.01591896,448150
83,California,Santa Clara,2017,37.57315937,7.39888424,23.42977528,0.29226361,38.63063063,1938153
84,California,Santa Cruz,2017,32.56164384,,,,,275897
85,California,Shasta,2017,39.58085569,,,,29.0862069,179921
86,California,Siskiyou,2017,25.29487179,,,,36.3220339,43853
87,California,Solano,2017,35.48440748,6.363636364,16.43406593,1.148351648,,445458
88,California,Sonoma,2017,31.24383562,5.657534247,10.4739726,,,504217
89,California,Stanislaus,2017,48.71232877,,19.56497175,,44.66666667,547899
90,California,Sutter,2017,37.93045564,,15.00828729,,34.97005988,96648
91,California,Tehama,2017,49.5203252,,,,,63926
92,California,Tulare,2017,64.20538721,,21.59883721,,55.40707965,464493
93,California,Tuolumne,2017,53.10714286,,,,,54248
94,California,Ventura,2017,46.96816685,,14.1890411,,,854223
95,California,Yolo,2017,38.51936872,,9.297124601,,32.4,219116
96,Colorado,Adams,2017,,4.96978022,30.80685358,,,503167
97,Colorado,Arapahoe,2017,49.82655827,,,,24.35,643052
98,Colorado,Archuleta,2017,44.07177033,,7.028301887,0.411214953,,13315
99,Colorado,Boulder,2017,48.17977528,,,,24.98347107,322514
100,Colorado,Clear Creek,2017,53.58709677,,,,,9574
101,Colorado,Denver,2017,40.12228261,6.662534435,36.98754325,3.062068966,29.07249071,704621
102,Colorado,Douglas,2017,52.9076087,,,,21.76229508,335299
103,Colorado,El Paso,2017,46.70656934,,,3.806094183,,699232
104,Colorado,Garfield,2017,41.24102079,,8.95480226,,17.01685393,59118
105,Colorado,Gunnison,2017,47.25561798,,,,,16939
